Sentences,Keywords,Intent,ner_ngram,NER,Ner_ngram_length,Values
What are the best beaches for surfing lessons in Goa during the monsoon season?,"[['the', 'are', 'beaches', 'best', 'during', 'for', 'goa', 'in', 'lessons', 'monsoon']]",activity_search,"{'location': [0, 1]}",['location'],[2],['Goa']
What are some reputable companies offering guided desert camping tours in Rajasthan?,"[['are', 'camping', 'companies', 'desert', 'guided', 'in', 'offering', 'rajasthan', 'reputable', 'some']]",tour_search,"{'location': [0, 2]}",['location'],[2],"['Rajasthan', 'desert camping']"
Are there any budget-friendly homestays with stunning views in Munnar?,"[['any', 'are', 'budget', 'friendly', 'homestays', 'in', 'munnar', 'stunning', 'there', 'views']]",accommodation_search,"{'location': [0, 1]}",['location'],[2],['Munnar']
What are some traditional cooking classes I can take in Kerala to learn about Ayurvedic cuisine?,"[['about', 'are', 'ayurvedic', 'can', 'classes', 'cooking', 'cuisine', 'in', 'kerala', 'learn']]",activity_search,"{'location': [0, 1]}",['location'],[2],['Kerala']
What are some unique ways to experience the festival of Diwali in Varanasi?,"[['are', 'diwali', 'experience', 'festival', 'in', 'of', 'some', 'the', 'to', 'unique']]",activity_search,"{'location': [0, 2], 'festival': [1, 3]}","['location', 'festival']","[2, 2]","['Varanasi', 'Diwali']"
What are some volunteer opportunities available in Dharamshala to support the Tibetan community?,"[['are', 'available', 'community', 'dharamshala', 'in', 'opportunities', 'some', 'support', 'the', 'tibetan']]",volunteer_search,"{'location': [0, 1]}",['location'],[2],['Dharamsala']
What are the best places to go for coffee plantation tours and tastings in Coorg?,"[['and', 'are', 'best', 'coffee', 'coorg', 'for', 'go', 'in', 'places', 'plantation']]",activity_search,"{'location': [0, 1]}",['location'],[2],['Coorg']
What are some challenging yet safe mountain biking trails for experienced riders in Ladakh?,"[['are', 'biking', 'challenging', 'experienced', 'for', 'in', 'ladakh', 'mountain', 'riders', 'safe']]",activity_search,"{'location': [0, 2]}",['location'],[2],"['Ladakh', 'mountain biking']"
Can you recommend some unique historical sites off the beaten path to explore near Hampi?,"[['beaten', 'can', 'explore', 'hampi', 'historical', 'near', 'off', 'path', 'recommend', 'sites']]",attraction_search,"{'location': [0, 1]}",['location'],[2],['Hampi']
What are some luxurious Ayurvedic wellness retreats offering yoga and meditation programs in Kerala?,"[['and', 'are', 'ayurvedic', 'in', 'kerala', 'luxurious', 'meditation', 'offering', 'programs', 'retreats']]",accommodation_search,"{'location': [0, 2]}",['location'],[2],"['Kerala', 'Ayurvedic wellness retreats']"
What are some popular hiking trails near Manali?,"[['are', 'hiking', 'manali', 'near', 'popular', 'some', 'trails', 'what']]",activity_search,"{'location': [1, 2]}",['location'],[2],['Manali']
What are some must-visit historical landmarks in Delhi?,"[['are', 'delhi', 'historical', 'in', 'landmarks', 'must', 'some', 'visit', 'what']]",attraction_search,"{'location': [1, 2]}",['location'],[2],['Delhi']
How can I find homestays with a view in Munnar for under $50 a night?,"[['50', 'can', 'find', 'for', 'homestays', 'how', 'in', 'munnar', 'night', 'under']]",accommodation_search,"{'location': [1, 2], 'price': [1, 2], 'accommodation': [3, 4]}","['location', 'price', 'accommodation']","[2, 2, 2]","['Munnar', '$50', 'homestays']"
What are some wildlife sanctuaries to visit in India during the winter season?,"[['are', 'during', 'in', 'india', 'sanctuaries', 'season', 'some', 'the', 'to', 'visit']]",activity_search,"{'location': [1, 2], 'season': [0, 1]}","['location', 'season']","[2, 2]","['India', 'winter']"
Is there a farmers market open today near me?,"[['farmers', 'is', 'market', 'me', 'near', 'open', 'there', 'today']]",business_search,"{'time': [1, 2]}",['time'],[2],['today']
What are some art galleries exhibiting modern paintings in Chelsea Manhattan?,"[['are', 'art', 'chelsea', 'exhibiting', 'galleries', 'in', 'manhattan', 'modern', 'paintings', 'some']]",attraction_search,"{'location': [1, 2], 'attraction_type': [2, 4]}","['location', 'attraction_type']","[2, 2]","['Chelsea, Manhattan', 'modern paintings']"
When are there flights departing from San Francisco to Paris this summer?,"[['are', 'departing', 'flights', 'francisco', 'from', 'paris', 'san', 'summer', 'there', 'this']]",travel_search,"{'origin': [1, 2], 'destination': [1, 2], 'season': [1]}","['origin', 'destination', 'season']","[2, 2, 1]","['San Francisco', 'Paris', 'summer']"
Are there any vegetarian restaurants with outdoor seating in Austin Texas?,"[['any', 'are', 'austin', 'in', 'outdoor', 'restaurants', 'seating', 'texas', 'there', 'vegetarian']]",restaurant_search,"{'location': [1, 2], 'cuisine': [0, 1]}","['location', 'cuisine']","[2, 2]","['Austin, Texas', 'vegetarian']"
What spas offer couples massages in Bangalore on weekdays?,"[['bangalore', 'couples', 'in', 'massages', 'offer', 'on', 'spas', 'weekdays', 'what']]",business_search,"{'location': [1, 2], 'service': [1, 2], 'time': [1, 2]}","['location', 'service', 'time']","[2, 2, 2]","['Bangalore', 'couples massages', 'weekdays']"
What are the weather conditions like in London today?,"[['are', 'conditions', 'in', 'like', 'london', 'the', 'today', 'weather', 'what']]",weather_search,"{'location': [1, 2], 'time': [1, 2]}","['location', 'time']","[2, 2]","['London', 'today']"
Where can I find a pharmacy near me that's open late tonight?,"[['can', 'find', 'late', 'me', 'near', 'open', 'pharmacy', 'that', 'tonight', 'where']]",business_search,"{'location': [1, 2], 'time': [1, 2]}","['location', 'time']","[2, 2]","['current location', 'late tonight']"
What are some popular things to do in Barcelona for families with young children?,"[['are', 'barcelona', 'children', 'do', 'families', 'for', 'in', 'popular', 'some', 'things']]",activity_search,"{'location': [1, 2]}",['location'],[2],['Barcelona']
What are some highly-rated Italian restaurants in San Francisco's Chinatown?,"[['are', 'chinatown', 'francisco', 'highly', 'in', 'italian', 'rated', 'restaurants', 'san', 'some']]",restaurant_search,"{'location': [1, 2], 'cuisine': [2, 3]}","['location', 'cuisine']","[2, 2]","['San Francisco Chinatown', 'Italian']"
What museums are free to enter on the first Saturday of the month?,"[['the', 'are', 'enter', 'first', 'free', 'month', 'museums', 'of', 'on', 'saturday']]",attraction_search,"{'attraction_type': [2, 4], 'day': [1]}","['attraction_type', 'day']","[2, 1]","['museum', 'Saturday']"
What are the best places to go hiking near Manali?,"[['are', 'best', 'go', 'hiking', 'manali', 'near', 'places', 'the', 'to', 'what']]",activity_search,"{'location': [1, 2]}",['location'],[2],['Manali']
Are there any art galleries showcasing impressionist paintings in Chelsea New York?,"[['any', 'are', 'art', 'chelsea', 'galleries', 'impressionist', 'in', 'new', 'paintings', 'showcasing']]",attraction_search,"{'location': [1, 2], 'exhibit': [1, 2]}","['location', 'exhibit']","[2, 2]","['Chelsea, New York', 'impressionist paintings']"
When can I find flights departing from San Francisco International Airport to Paris during summer this year?,"[['airport', 'can', 'departing', 'during', 'find', 'flights', 'francisco', 'from', 'international', 'paris']]",travel_search,"{'origin': [1, 2], 'destination': [1, 2], 'time': [0, 1]}","['origin', 'destination', 'time']","[2, 2, 2]","['San Francisco International Airport', 'Paris', 'this summer']"
Is there a traditional flamenco show happening tonight near Plaza Mayor in Madrid?,"[['flamenco', 'happening', 'in', 'is', 'madrid', 'mayor', 'near', 'plaza', 'show', 'there']]",event_search,"{'location': [1, 2], 'time': [0, 1]}","['location', 'time']","[2, 2]","['Madrid, Plaza Mayor', 'tonight']"
What are some historical walking tours offered in English in Prague Czech Republic?,"[['in', 'are', 'czech', 'english', 'historical', 'offered', 'prague', 'republic', 'some', 'tours']]",activity_search,"{'location': [2, 3], 'language': [1, 2]}","['location', 'language']","[2, 2]","['Prague, Czech Republic', 'English']"
How far is it from Marrakech to the Sahara Desert and are there day tours available?,"[['and', 'are', 'available', 'day', 'desert', 'far', 'from', 'how', 'is', 'it']]",trip_planning,"{'origin': [1, 2], 'destination': [1, 2]}","['origin', 'destination']","[2, 2]","['Marrakech', 'Sahara Desert']"
I'm interested in learning how to tango in Buenos Aires Argentina. Are there any beginner-friendly classes offered? ,"[['in', 'aires', 'any', 'are', 'argentina', 'beginner', 'buenos', 'classes', 'friendly', 'how']]",activity_search,"{'location': [1, 2]}",['location'],[2],"['Buenos Aires, Argentina']"
Where can I find wildlife sanctuaries offering volunteer programs in South Africa?,"[['africa', 'can', 'find', 'in', 'offering', 'programs', 'sanctuaries', 'south', 'volunteer', 'where']]",volunteer_search,"{'location': [1, 2]}",['location'],[2],['South Africa']
What are some things to do for kids on a rainy day in London England?,"[['are', 'day', 'do', 'england', 'for', 'in', 'kids', 'london', 'on', 'rainy']]",activity_search,"{'location': [1, 2]}",['location'],[2],"['London, England']"
I'm planning a road trip along the Pacific Coast Highway. Can you suggest some scenic stops along the way?,"[['along', 'the', 'can', 'coast', 'highway', 'pacific', 'planning', 'road', 'scenic', 'some']]",trip_planning,"{'route': [2, 3]}",['route'],[2],['Pacific Coast Highway']
What are some unique festivals happening in Rio de Janeiro Brazil in February?,"[['in', 'are', 'brazil', 'de', 'february', 'festivals', 'happening', 'janeiro', 'rio', 'some']]",event_search,"{'location': [1, 2], 'month': [0, 1]}","['location', 'month']","[2, 2]","['Rio de Janeiro, Brazil', 'February']"
What day trips are there from Hanoi to Ha Long Bay that include kayaking?,"[['are', 'bay', 'day', 'from', 'ha', 'hanoi', 'include', 'kayaking', 'long', 'that']]",activity_search,"{'origin': [1, 2], 'destination': [1, 2]}","['origin', 'destination']","[2, 2]","['Hanoi', 'Ha Long Bay']"
What are some traditional African dance classes offered in Accra Ghana?,"[['accra', 'african', 'are', 'classes', 'dance', 'ghana', 'in', 'offered', 'some', 'traditional']]",activity_search,"{'location': [1, 2]}",['location'],[2],"['Accra, Ghana']"
Best places to go white water rafting in Nepal in April,"[['in', 'april', 'best', 'go', 'nepal', 'places', 'rafting', 'to', 'water', 'white']]",activity_search,"{'location': [1, 2], 'month': [1], 'activity': [1, 3]}","['location', 'month', 'activity']","[2, 1, 2]","['Nepal', 'April', 'white water rafting']"
Cheapest time to fly to Santorini Greece from Chicago,"[['to', 'cheapest', 'chicago', 'fly', 'from', 'greece', 'santorini', 'time']]",flight_search,"{'destination': [1, 2], 'origin': [5, 6], 'cost': [1]}","['destination', 'origin', 'cost']","[2, 2, 1]","['Santorini, Greece', 'Chicago', 'cheapest']"
What are the visa requirements for US citizens traveling to Vietnam?,"[['are', 'citizens', 'for', 'requirements', 'the', 'to', 'traveling', 'us', 'vietnam', 'visa']]",travel_documentation,"{'citizenship': [1, 2], 'destination': [1, 2]}","['citizenship', 'destination']","[2, 2]","['US', 'Vietnam']"
